stem,issues,shape,dtype
file_brain_AXFLAIR_201_6002888,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_201_6002894,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_201_6002909,native_affine_mismatch,260x320x14,int16
file_brain_AXFLAIR_201_6002914,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_201_6002933,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_201_6002956,native_affine_mismatch,290x320x16,int16
file_brain_AXFLAIR_201_6002968,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_201_6002980,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_201_6002995,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_201_6003003,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000418,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000420,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000421,native_affine_mismatch,290x320x16,int16
file_brain_AXFLAIR_202_6000422,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000423,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000424,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000427,native_affine_mismatch,208x256x16,int16
file_brain_AXFLAIR_202_6000428,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000431,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000436,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000440,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000447,native_affine_mismatch,224x256x16,int16
file_brain_AXFLAIR_202_6000450,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000455,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000456,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000460,native_affine_mismatch,224x256x16,int16
file_brain_AXFLAIR_202_6000464,native_affine_mismatch,260x320x14,int16
