scan,orientation,shape_raw,best,score_best,score_second,score_identity,spacing,dice_1,dice_2,dice_3,dice_4,dice_5,dice_6,shift_mm_1,shift_mm_2,shift_mm_3,shift_mm_4,shift_mm_5,shift_mm_6
MTR_001,SIAPLR,512x512x160,----,3.341,2.209,3.341,0.31250;0.31245;0.80002,0.733,0.882,0.984,0.881,0.980,0.925,0.72,0.47,0.21,0.28,0.33,0.25
MTR_005,SIAPLR,512x512x160,----,5.019,2.129,5.019,0.31245;0.31250;0.80065,0.738,0.876,0.945,0.890,0.969,0.897,0.88,0.73,0.20,0.44,0.19,0.51
MTR_006,SIAPLR,512x512x160,----,5.729,2.646,5.729,0.31250;0.31250;0.80000,0.621,0.842,0.969,0.876,0.970,0.906,1.09,0.77,0.50,0.42,0.43,0.37
MTR_008,SIAPLR,512x512x160,----,3.572,1.672,3.572,0.31250;0.31250;0.80000,0.725,0.872,0.986,0.931,0.978,0.931,1.11,0.67,0.23,0.40,0.27,0.66
MTR_010,SIAPLR,512x512x160,----,4.189,2.063,4.189,0.31250;0.31246;0.80048,0.553,0.796,0.890,0.841,0.949,0.870,1.41,0.96,0.25,0.68,0.52,0.60
MTR_013,SIAPLR,512x512x160,----,4.326,1.866,4.326,0.31250;0.31250;0.80000,0.666,0.827,0.855,0.879,0.909,0.908,1.25,0.77,0.40,0.41,0.25,0.41
MTR_015,SIAPLR,512x512x160,----,3.706,3.446,3.706,0.31250;0.31250;0.80000,0.881,0.934,0.999,0.898,0.999,0.912,0.43,0.32,0.01,0.27,0.03,0.27
MTR_016,SIAPLR,512x512x160,----,5.236,2.346,5.236,0.31250;0.31250;0.80000,0.585,0.847,0.844,0.865,0.924,0.899,0.80,0.25,0.33,0.32,0.31,0.34
MTR_018,SIAPLR,512x512x160,----,5.213,2.915,5.213,0.31251;0.31249;0.79959,0.757,0.915,0.995,0.915,0.993,0.908,0.73,0.52,0.07,0.27,0.09,0.24
MTR_019,SIAPLR,512x512x160,----,4.894,2.595,4.894,0.31250;0.31250;0.80000,0.846,0.941,1.000,0.917,0.996,0.958,0.55,0.31,0.01,0.19,0.11,0.20
