thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,4016,1353,758,96108,1172,0.336902390438247,0.18874501992031872,82.00341296928327
0.02,4016,1353,758,94819,1172,0.336902390438247,0.18874501992031872,80.90358361774744
0.03,4016,1353,758,92098,1172,0.336902390438247,0.18874501992031872,78.58191126279864
0.04,4016,1352,758,81385,1172,0.33665338645418325,0.18874501992031872,69.44112627986348
0.05,4016,1340,750,58397,1172,0.3336653386454183,0.18675298804780877,49.82679180887372
0.06,4016,1316,736,39974,1172,0.32768924302788843,0.18326693227091634,34.10750853242321
0.07,4016,1287,720,29295,1172,0.32046812749003983,0.17928286852589642,24.995733788395903
0.08,4016,1249,696,22958,1172,0.31100597609561753,0.17330677290836655,19.588737201365188
0.09,4016,1201,665,18568,1172,0.2990537848605578,0.16558764940239043,15.843003412969283
0.1,4016,1134,621,14812,1172,0.2823705179282869,0.15463147410358566,12.638225255972696
0.11,4016,1055,564,11482,1172,0.262699203187251,0.14043824701195218,9.796928327645052
0.12,4016,973,524,8738,1172,0.2422808764940239,0.13047808764940239,7.455631399317406
0.13,4016,902,492,6677,1172,0.224601593625498,0.12250996015936255,5.697098976109215
0.14,4016,831,453,5155,1172,0.20692231075697212,0.11279880478087649,4.398464163822526
0.15,4016,768,425,3984,1172,0.19123505976095617,0.10582669322709164,3.3993174061433447
0.16,4016,694,382,3089,1172,0.17280876494023906,0.0951195219123506,2.635665529010239
0.17,4016,616,351,2379,1172,0.15338645418326693,0.08740039840637451,2.029863481228669
0.18,4016,543,309,1775,1172,0.13520916334661354,0.07694223107569721,1.514505119453925
0.19,4016,479,289,1307,1172,0.11927290836653387,0.07196215139442232,1.1151877133105803
0.2,4016,418,261,947,1172,0.10408366533864542,0.06499003984063745,0.8080204778156996
0.21,4016,358,228,672,1172,0.08914342629482072,0.05677290836653386,0.5733788395904437
0.22,4016,302,197,471,1172,0.075199203187251,0.04905378486055777,0.40187713310580203
0.23,4016,251,166,320,1172,0.0625,0.04133466135458167,0.27303754266211605
0.24,4016,196,127,214,1172,0.04880478087649402,0.03162350597609562,0.1825938566552901
0.25,4016,160,105,152,1172,0.0398406374501992,0.026145418326693228,0.1296928327645051
0.26,4016,143,95,111,1172,0.03560756972111554,0.023655378486055777,0.0947098976109215
0.27,4016,114,76,76,1172,0.02838645418326693,0.018924302788844622,0.06484641638225255
0.28,4016,89,57,52,1172,0.022161354581673308,0.014193227091633466,0.04436860068259386
0.29,4016,67,47,38,1172,0.016683266932270915,0.011703187250996016,0.032423208191126277
0.3,4016,55,38,25,1172,0.013695219123505976,0.009462151394422311,0.021331058020477817
0.31,4016,40,28,18,1172,0.0099601593625498,0.0069721115537848604,0.015358361774744027
0.32,4016,30,23,15,1172,0.007470119521912351,0.005727091633466136,0.012798634812286689
0.33,4016,25,20,8,1172,0.006225099601593625,0.0049800796812749,0.006825938566552901
0.34,4016,19,15,6,1172,0.0047310756972111555,0.0037350597609561755,0.005119453924914676
0.35,4016,15,11,3,1172,0.0037350597609561755,0.0027390438247011954,0.002559726962457338
0.36,4016,11,8,2,1172,0.0027390438247011954,0.00199203187250996,0.0017064846416382253
0.37,4016,9,6,2,1172,0.0022410358565737054,0.00149402390438247,0.0017064846416382253
0.38,4016,5,2,2,1172,0.001245019920318725,0.00049800796812749,0.0017064846416382253
0.39,4016,5,2,2,1172,0.001245019920318725,0.00049800796812749,0.0017064846416382253
0.4,4016,3,1,1,1172,0.000747011952191235,0.000249003984063745,0.0008532423208191126
0.41,4016,2,1,0,1172,0.00049800796812749,0.000249003984063745,0.0
0.42,4016,1,0,0,1172,0.000249003984063745,0.0,0.0
0.43,4016,1,0,0,1172,0.000249003984063745,0.0,0.0
0.44,4016,1,0,0,1172,0.000249003984063745,0.0,0.0
0.45,4016,1,0,0,1172,0.000249003984063745,0.0,0.0
0.46,4016,1,0,0,1172,0.000249003984063745,0.0,0.0
0.47,4016,0,0,0,1172,0.0,0.0,0.0
0.48,4016,0,0,0,1172,0.0,0.0,0.0
0.49,4016,0,0,0,1172,0.0,0.0,0.0
0.5,4016,0,0,0,1172,0.0,0.0,0.0
0.51,4016,0,0,0,1172,0.0,0.0,0.0
0.52,4016,0,0,0,1172,0.0,0.0,0.0
0.53,4016,0,0,0,1172,0.0,0.0,0.0
0.54,4016,0,0,0,1172,0.0,0.0,0.0
0.55,4016,0,0,0,1172,0.0,0.0,0.0
0.56,4016,0,0,0,1172,0.0,0.0,0.0
0.57,4016,0,0,0,1172,0.0,0.0,0.0
0.58,4016,0,0,0,1172,0.0,0.0,0.0
0.59,4016,0,0,0,1172,0.0,0.0,0.0
0.6,4016,0,0,0,1172,0.0,0.0,0.0
0.61,4016,0,0,0,1172,0.0,0.0,0.0
0.62,4016,0,0,0,1172,0.0,0.0,0.0
0.63,4016,0,0,0,1172,0.0,0.0,0.0
0.64,4016,0,0,0,1172,0.0,0.0,0.0
0.65,4016,0,0,0,1172,0.0,0.0,0.0
0.66,4016,0,0,0,1172,0.0,0.0,0.0
0.67,4016,0,0,0,1172,0.0,0.0,0.0
0.68,4016,0,0,0,1172,0.0,0.0,0.0
0.69,4016,0,0,0,1172,0.0,0.0,0.0
0.7,4016,0,0,0,1172,0.0,0.0,0.0
0.71,4016,0,0,0,1172,0.0,0.0,0.0
0.72,4016,0,0,0,1172,0.0,0.0,0.0
0.73,4016,0,0,0,1172,0.0,0.0,0.0
0.74,4016,0,0,0,1172,0.0,0.0,0.0
0.75,4016,0,0,0,1172,0.0,0.0,0.0
0.76,4016,0,0,0,1172,0.0,0.0,0.0
0.77,4016,0,0,0,1172,0.0,0.0,0.0
0.78,4016,0,0,0,1172,0.0,0.0,0.0
0.79,4016,0,0,0,1172,0.0,0.0,0.0
0.8,4016,0,0,0,1172,0.0,0.0,0.0
0.81,4016,0,0,0,1172,0.0,0.0,0.0
0.82,4016,0,0,0,1172,0.0,0.0,0.0
0.83,4016,0,0,0,1172,0.0,0.0,0.0
0.84,4016,0,0,0,1172,0.0,0.0,0.0
0.85,4016,0,0,0,1172,0.0,0.0,0.0
0.86,4016,0,0,0,1172,0.0,0.0,0.0
0.87,4016,0,0,0,1172,0.0,0.0,0.0
0.88,4016,0,0,0,1172,0.0,0.0,0.0
0.89,4016,0,0,0,1172,0.0,0.0,0.0
0.9,4016,0,0,0,1172,0.0,0.0,0.0
0.91,4016,0,0,0,1172,0.0,0.0,0.0
0.92,4016,0,0,0,1172,0.0,0.0,0.0
0.93,4016,0,0,0,1172,0.0,0.0,0.0
0.94,4016,0,0,0,1172,0.0,0.0,0.0
0.95,4016,0,0,0,1172,0.0,0.0,0.0
0.96,4016,0,0,0,1172,0.0,0.0,0.0
0.97,4016,0,0,0,1172,0.0,0.0,0.0
0.98,4016,0,0,0,1172,0.0,0.0,0.0
0.99,4016,0,0,0,1172,0.0,0.0,0.0
