thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,3401,1244,730,76997,1172,0.36577477212584536,0.21464275213172596,65.69709897610922
0.02,3401,1244,730,75748,1172,0.36577477212584536,0.21464275213172596,64.63139931740615
0.03,3401,1244,730,73693,1172,0.36577477212584536,0.21464275213172596,62.87798634812287
0.04,3401,1243,730,67989,1172,0.3654807409585416,0.21464275213172596,58.01109215017065
0.05,3401,1240,729,53471,1172,0.3645986474566304,0.21434872096442223,45.62372013651877
0.06,3401,1235,728,39045,1172,0.36312849162011174,0.2140546897971185,33.31484641638225
0.07,3401,1220,718,29206,1172,0.3587180241105557,0.21111437812408115,24.919795221843003
0.08,3401,1192,697,22991,1172,0.3504851514260512,0.20493972361070273,19.616894197952217
0.09,3401,1149,666,18617,1172,0.3378418112319906,0.19582475742428698,15.884812286689419
0.1,3401,1092,624,14854,1172,0.32108203469567775,0.18347544839753013,12.674061433447099
0.11,3401,1020,568,11517,1172,0.2999117906498089,0.16700970302852103,9.82679180887372
0.12,3401,943,527,8768,1172,0.27727139076742136,0.15495442516906793,7.48122866894198
0.13,3401,877,495,6702,1172,0.2578653337253749,0.14554542781534843,5.7184300341296925
0.14,3401,808,456,5178,1172,0.23757718318141724,0.1340782122905028,4.418088737201365
0.15,3401,747,427,4005,1172,0.21964128197588945,0.1255513084386945,3.417235494880546
0.16,3401,675,383,3108,1172,0.19847103793002058,0.1126139370773302,2.651877133105802
0.17,3401,598,353,2397,1172,0.17583063804763305,0.10379300205821818,2.045221843003413
0.18,3401,527,311,1791,1172,0.15495442516906793,0.09144369303146134,1.5281569965870307
0.19,3401,467,291,1319,1172,0.13731255513084387,0.08556306968538666,1.1254266211604096
0.2,3401,407,263,958,1172,0.11967068509261981,0.07733019700088209,0.8174061433447098
0.21,3401,350,231,680,1172,0.10291090855630697,0.0679211996471626,0.5802047781569966
0.22,3401,297,199,476,1172,0.08732725668920906,0.0585122022934431,0.4061433447098976
0.23,3401,249,167,322,1172,0.07321376065862982,0.04910320493972361,0.27474402730375425
0.24,3401,194,128,216,1172,0.057042046456924435,0.037635989414877974,0.18430034129692832
0.25,3401,159,106,153,1172,0.046750955601293734,0.031167303734195826,0.13054607508532423
0.26,3401,142,96,112,1172,0.04175242575713026,0.028226992061158484,0.09556313993174062
0.27,3401,113,77,77,1172,0.033225521905321964,0.022640399882387533,0.06569965870307168
0.28,3401,88,58,53,1172,0.02587474272272861,0.017053807703616582,0.04522184300341297
0.29,3401,67,48,38,1172,0.01970008820935019,0.014113496030579242,0.032423208191126277
0.3,3401,55,39,25,1172,0.016171714201705382,0.011467215524845633,0.021331058020477817
0.31,3401,40,29,18,1172,0.011761246692149369,0.008526903851808291,0.015358361774744027
