thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,3401,1253,755,77205,1172,0.3684210526315789,0.22199353131431931,65.87457337883959
0.02,3401,1253,755,76126,1172,0.3684210526315789,0.22199353131431931,64.95392491467577
0.03,3401,1253,755,74073,1172,0.3684210526315789,0.22199353131431931,63.20221843003413
0.04,3401,1252,755,68292,1172,0.36812702146427523,0.22199353131431931,58.26962457337884
0.05,3401,1248,753,53642,1172,0.36695089679506027,0.22140546897971186,45.76962457337884
0.06,3401,1245,751,39095,1172,0.36606880329314906,0.22081740664510438,33.35750853242321
0.07,3401,1230,742,29167,1172,0.3616583357835931,0.21817112613937079,24.88651877133106
0.08,3401,1193,717,22877,1172,0.3507791825933549,0.21082034695677743,19.519624573378838
0.09,3401,1159,693,18411,1172,0.3407821229050279,0.2037635989414878,15.709044368600683
0.1,3401,1106,652,14655,1172,0.32519847103793004,0.1917083210820347,12.504266211604095
0.11,3401,1028,601,11320,1172,0.30226403998823875,0.17671273154954426,9.658703071672354
0.12,3401,962,559,8603,1172,0.2828579829461923,0.1643634225227874,7.340443686006826
0.13,3401,882,515,6566,1172,0.25933548956189356,0.1514260511614231,5.602389078498294
0.14,3401,809,473,5041,1172,0.23787121434872097,0.13907674213466628,4.301194539249146
0.15,3401,731,438,3909,1172,0.2149367832990297,0.12878565127903557,3.3353242320819114
0.16,3401,663,399,3048,1172,0.19494266392237578,0.11731843575418995,2.6006825938566553
0.17,3401,583,361,2366,1172,0.17142017053807704,0.10614525139664804,2.0187713310580206
0.18,3401,524,333,1785,1172,0.15407233166715673,0.09791237871214349,1.523037542662116
0.19,3401,453,299,1291,1172,0.13319611878859158,0.08791531902381652,1.1015358361774743
0.2,3401,398,265,934,1172,0.1170244045868862,0.07791825933548956,0.7969283276450512
0.21,3401,344,236,669,1172,0.10114672155248457,0.06939135548368126,0.5708191126279863
0.22,3401,294,205,464,1172,0.08644516318729785,0.06027638929726551,0.39590443686006827
0.23,3401,234,162,305,1172,0.0688032931490738,0.04763304910320494,0.26023890784982934
0.24,3401,192,131,198,1172,0.05645398412231697,0.03851808291678918,0.1689419795221843
0.25,3401,161,109,139,1172,0.04733901793590121,0.03204939723610703,0.11860068259385666
0.26,3401,139,95,98,1172,0.040870332255219056,0.027932960893854747,0.08361774744027303
0.27,3401,118,84,62,1172,0.03469567774184063,0.02469861805351367,0.052901023890784986
0.28,3401,85,62,43,1172,0.024992649220817408,0.01822993237283152,0.03668941979522184
0.29,3401,69,51,35,1172,0.020288150543957658,0.014995589532490444,0.029863481228668942
0.3,3401,55,42,21,1172,0.016171714201705382,0.012349309026756836,0.017918088737201365
0.31,3401,42,33,14,1172,0.012349309026756836,0.009703028521023229,0.011945392491467578
0.32,3401,29,23,13,1172,0.008526903851808291,0.006762716847985887,0.011092150170648464
0.33,3401,26,22,6,1172,0.007644810349897089,0.006468685680682152,0.005119453924914676
0.34,3401,20,18,5,1172,0.005880623346074684,0.0052925610114672155,0.004266211604095563
0.35,3401,17,14,3,1172,0.004998529844163481,0.004116436342252279,0.002559726962457338
0.36,3401,12,10,1,1172,0.0035283740076448105,0.002940311673037342,0.0008532423208191126
0.37,3401,11,9,1,1172,0.003234342840341076,0.0026462805057336078,0.0008532423208191126
0.38,3401,7,5,1,1172,0.0020582181711261394,0.001470155836518671,0.0008532423208191126
0.39,3401,5,4,1,1172,0.001470155836518671,0.0011761246692149367,0.0008532423208191126
0.4,3401,2,1,1,1172,0.0005880623346074683,0.00029403116730373417,0.0008532423208191126
