thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,4016,1335,799,97706,1172,0.3324203187250996,0.19895418326693226,83.36689419795222
0.02,4016,1335,799,96950,1172,0.3324203187250996,0.19895418326693226,82.72184300341297
0.03,4016,1335,799,94562,1172,0.3324203187250996,0.19895418326693226,80.68430034129693
0.04,4016,1334,799,84451,1172,0.33217131474103584,0.19895418326693226,72.05716723549489
0.05,4016,1319,789,60316,1172,0.32843625498007967,0.1964641434262948,51.4641638225256
0.06,4016,1295,776,40586,1172,0.3224601593625498,0.19322709163346613,34.629692832764505
0.07,4016,1271,760,29191,1172,0.3164840637450199,0.1892430278884462,24.906996587030715
0.08,4016,1236,743,22407,1172,0.30776892430278885,0.18500996015936255,19.118600682593858
0.09,4016,1190,713,17674,1172,0.2963147410358566,0.1775398406374502,15.080204778156997
0.1,4016,1129,675,13836,1172,0.2811254980079681,0.16807768924302788,11.805460750853243
0.11,4016,1034,613,10564,1172,0.25747011952191234,0.1526394422310757,9.013651877133105
0.12,4016,958,567,7946,1172,0.23854581673306774,0.14118525896414344,6.779863481228669
0.13,4016,884,529,6013,1172,0.2201195219123506,0.1317231075697211,5.1305460750853245
0.14,4016,809,495,4600,1172,0.2014442231075697,0.12325697211155379,3.9249146757679183
0.15,4016,721,434,3586,1172,0.17953187250996017,0.10806772908366534,3.0597269624573378
0.16,4016,652,400,2841,1172,0.16235059760956175,0.099601593625498,2.424061433447099
0.17,4016,577,358,2202,1172,0.1436752988047809,0.08914342629482072,1.878839590443686
0.18,4016,506,325,1679,1172,0.12599601593625498,0.08092629482071713,1.43259385665529
0.19,4016,448,303,1203,1172,0.11155378486055777,0.07544820717131474,1.0264505119453924
0.2,4016,382,256,858,1172,0.0951195219123506,0.06374501992031872,0.7320819112627986
0.21,4016,326,225,613,1172,0.08117529880478087,0.05602589641434263,0.523037542662116
0.22,4016,265,188,436,1172,0.06598605577689243,0.046812749003984064,0.3720136518771331
0.23,4016,221,160,288,1172,0.05502988047808765,0.0398406374501992,0.24573378839590443
0.24,4016,191,136,189,1172,0.0475597609561753,0.03386454183266932,0.1612627986348123
0.25,4016,156,106,123,1172,0.03884462151394422,0.026394422310756973,0.10494880546075085
0.26,4016,127,88,81,1172,0.03162350597609562,0.021912350597609563,0.06911262798634812
0.27,4016,99,69,55,1172,0.024651394422310756,0.017181274900398405,0.04692832764505119
0.28,4016,82,55,38,1172,0.02041832669322709,0.013695219123505976,0.032423208191126277
0.29,4016,59,40,27,1172,0.014691235059760957,0.0099601593625498,0.02303754266211604
0.3,4016,47,34,18,1172,0.011703187250996016,0.00846613545816733,0.015358361774744027
0.31,4016,36,28,15,1172,0.008964143426294821,0.0069721115537848604,0.012798634812286689
0.32,4016,27,21,11,1172,0.006723107569721116,0.005229083665338645,0.00938566552901024
0.33,4016,23,18,8,1172,0.005727091633466136,0.004482071713147411,0.006825938566552901
0.34,4016,16,13,4,1172,0.00398406374501992,0.0032370517928286854,0.0034129692832764505
0.35,4016,14,11,4,1172,0.0034860557768924302,0.0027390438247011954,0.0034129692832764505
0.36,4016,10,9,2,1172,0.00249003984063745,0.0022410358565737054,0.0017064846416382253
0.37,4016,8,7,2,1172,0.00199203187250996,0.0017430278884462151,0.0017064846416382253
0.38,4016,5,4,2,1172,0.001245019920318725,0.00099601593625498,0.0017064846416382253
0.39,4016,2,2,1,1172,0.00049800796812749,0.00049800796812749,0.0008532423208191126
0.4,4016,2,2,0,1172,0.00049800796812749,0.00049800796812749,0.0
0.41,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.42,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.43,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.44,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.45,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.46,4016,0,0,0,1172,0.0,0.0,0.0
0.47,4016,0,0,0,1172,0.0,0.0,0.0
0.48,4016,0,0,0,1172,0.0,0.0,0.0
0.49,4016,0,0,0,1172,0.0,0.0,0.0
0.5,4016,0,0,0,1172,0.0,0.0,0.0
0.51,4016,0,0,0,1172,0.0,0.0,0.0
0.52,4016,0,0,0,1172,0.0,0.0,0.0
0.53,4016,0,0,0,1172,0.0,0.0,0.0
0.54,4016,0,0,0,1172,0.0,0.0,0.0
0.55,4016,0,0,0,1172,0.0,0.0,0.0
0.56,4016,0,0,0,1172,0.0,0.0,0.0
0.57,4016,0,0,0,1172,0.0,0.0,0.0
0.58,4016,0,0,0,1172,0.0,0.0,0.0
0.59,4016,0,0,0,1172,0.0,0.0,0.0
0.6,4016,0,0,0,1172,0.0,0.0,0.0
0.61,4016,0,0,0,1172,0.0,0.0,0.0
0.62,4016,0,0,0,1172,0.0,0.0,0.0
0.63,4016,0,0,0,1172,0.0,0.0,0.0
0.64,4016,0,0,0,1172,0.0,0.0,0.0
0.65,4016,0,0,0,1172,0.0,0.0,0.0
0.66,4016,0,0,0,1172,0.0,0.0,0.0
0.67,4016,0,0,0,1172,0.0,0.0,0.0
0.68,4016,0,0,0,1172,0.0,0.0,0.0
0.69,4016,0,0,0,1172,0.0,0.0,0.0
0.7,4016,0,0,0,1172,0.0,0.0,0.0
0.71,4016,0,0,0,1172,0.0,0.0,0.0
0.72,4016,0,0,0,1172,0.0,0.0,0.0
