thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,4016,1313,643,97065,1172,0.3269422310756972,0.16010956175298804,82.81996587030717
0.02,4016,1313,643,93972,1172,0.3269422310756972,0.16010956175298804,80.18088737201366
0.03,4016,1313,644,88988,1172,0.3269422310756972,0.1603585657370518,75.9283276450512
0.04,4016,1308,643,70715,1172,0.3256972111553785,0.16010956175298804,60.33703071672355
0.05,4016,1283,628,50727,1172,0.31947211155378485,0.15637450199203187,43.282423208191126
0.06,4016,1219,595,36326,1172,0.3035358565737052,0.1481573705179283,30.994880546075084
0.07,4016,1168,565,26961,1172,0.2908366533864542,0.14068725099601595,23.004266211604097
0.08,4016,1102,531,21132,1172,0.274402390438247,0.1322211155378486,18.03071672354949
0.09,4016,1047,502,16828,1172,0.260707171314741,0.125,14.358361774744028
0.1,4016,983,474,13185,1172,0.24477091633466136,0.11802788844621515,11.25
0.11,4016,901,431,10278,1172,0.22435258964143426,0.1073207171314741,8.76962457337884
0.12,4016,843,408,8025,1172,0.20991035856573706,0.10159362549800798,6.847269624573379
0.13,4016,794,390,6339,1172,0.19770916334661354,0.09711155378486055,5.408703071672355
0.14,4016,743,368,5080,1172,0.18500996015936255,0.09163346613545817,4.334470989761092
0.15,4016,686,347,4120,1172,0.17081673306772907,0.08640438247011953,3.515358361774744
0.16,4016,637,329,3269,1172,0.15861553784860558,0.08192231075697211,2.789249146757679
0.17,4016,570,303,2593,1172,0.14193227091633467,0.07544820717131474,2.212457337883959
0.18,4016,514,284,2056,1172,0.12798804780876494,0.07071713147410359,1.7542662116040955
0.19,4016,462,255,1535,1172,0.1150398406374502,0.06349601593625498,1.3097269624573378
0.2,4016,404,231,1138,1172,0.10059760956175298,0.0575199203187251,0.9709897610921502
0.21,4016,347,195,834,1172,0.08640438247011953,0.04855577689243028,0.71160409556314
0.22,4016,289,171,590,1172,0.07196215139442232,0.042579681274900395,0.5034129692832765
0.23,4016,229,129,416,1172,0.05702191235059761,0.03212151394422311,0.35494880546075086
0.24,4016,181,107,279,1172,0.04506972111553785,0.026643426294820718,0.2380546075085324
0.25,4016,150,92,188,1172,0.037350597609561755,0.022908366533864542,0.16040955631399317
0.26,4016,117,74,132,1172,0.029133466135458166,0.018426294820717132,0.11262798634812286
0.27,4016,99,64,92,1172,0.024651394422310756,0.01593625498007968,0.07849829351535836
0.28,4016,81,55,63,1172,0.020169322709163346,0.013695219123505976,0.0537542662116041
0.29,4016,65,44,45,1172,0.016185258964143426,0.010956175298804782,0.03839590443686007
0.3,4016,47,33,27,1172,0.011703187250996016,0.008217131474103585,0.02303754266211604
0.31,4016,32,23,20,1172,0.00796812749003984,0.005727091633466136,0.017064846416382253
0.32,4016,28,19,13,1172,0.0069721115537848604,0.0047310756972111555,0.011092150170648464
0.33,4016,21,14,8,1172,0.005229083665338645,0.0034860557768924302,0.006825938566552901
0.34,4016,17,12,5,1172,0.004233067729083665,0.00298804780876494,0.004266211604095563
0.35,4016,14,9,3,1172,0.0034860557768924302,0.0022410358565737054,0.002559726962457338
0.36,4016,10,6,1,1172,0.00249003984063745,0.00149402390438247,0.0008532423208191126
0.37,4016,6,4,1,1172,0.00149402390438247,0.00099601593625498,0.0008532423208191126
0.38,4016,4,2,1,1172,0.00099601593625498,0.00049800796812749,0.0008532423208191126
0.39,4016,4,2,1,1172,0.00099601593625498,0.00049800796812749,0.0008532423208191126
0.4,4016,2,1,0,1172,0.00049800796812749,0.000249003984063745,0.0
0.41,4016,2,1,0,1172,0.00049800796812749,0.000249003984063745,0.0
0.42,4016,2,1,0,1172,0.00049800796812749,0.000249003984063745,0.0
0.43,4016,2,1,0,1172,0.00049800796812749,0.000249003984063745,0.0
0.44,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.45,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.46,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.47,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.48,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.49,4016,1,1,0,1172,0.000249003984063745,0.000249003984063745,0.0
0.5,4016,0,0,0,1172,0.0,0.0,0.0
0.51,4016,0,0,0,1172,0.0,0.0,0.0
0.52,4016,0,0,0,1172,0.0,0.0,0.0
0.53,4016,0,0,0,1172,0.0,0.0,0.0
0.54,4016,0,0,0,1172,0.0,0.0,0.0
0.55,4016,0,0,0,1172,0.0,0.0,0.0
0.56,4016,0,0,0,1172,0.0,0.0,0.0
0.57,4016,0,0,0,1172,0.0,0.0,0.0
0.58,4016,0,0,0,1172,0.0,0.0,0.0
0.59,4016,0,0,0,1172,0.0,0.0,0.0
0.6,4016,0,0,0,1172,0.0,0.0,0.0
0.61,4016,0,0,0,1172,0.0,0.0,0.0
0.62,4016,0,0,0,1172,0.0,0.0,0.0
0.63,4016,0,0,0,1172,0.0,0.0,0.0
0.64,4016,0,0,0,1172,0.0,0.0,0.0
0.65,4016,0,0,0,1172,0.0,0.0,0.0
0.66,4016,0,0,0,1172,0.0,0.0,0.0
0.67,4016,0,0,0,1172,0.0,0.0,0.0
0.68,4016,0,0,0,1172,0.0,0.0,0.0
0.69,4016,0,0,0,1172,0.0,0.0,0.0
0.7,4016,0,0,0,1172,0.0,0.0,0.0
0.71,4016,0,0,0,1172,0.0,0.0,0.0
0.72,4016,0,0,0,1172,0.0,0.0,0.0
0.73,4016,0,0,0,1172,0.0,0.0,0.0
0.74,4016,0,0,0,1172,0.0,0.0,0.0
0.75,4016,0,0,0,1172,0.0,0.0,0.0
0.76,4016,0,0,0,1172,0.0,0.0,0.0
0.77,4016,0,0,0,1172,0.0,0.0,0.0
0.78,4016,0,0,0,1172,0.0,0.0,0.0
0.79,4016,0,0,0,1172,0.0,0.0,0.0
0.8,4016,0,0,0,1172,0.0,0.0,0.0
0.81,4016,0,0,0,1172,0.0,0.0,0.0
0.82,4016,0,0,0,1172,0.0,0.0,0.0
0.83,4016,0,0,0,1172,0.0,0.0,0.0
0.84,4016,0,0,0,1172,0.0,0.0,0.0
0.85,4016,0,0,0,1172,0.0,0.0,0.0
