thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,3401,1186,608,75022,1172,0.3487209644222288,0.1787709497206704,64.01194539249147
0.02,3401,1186,608,72107,1172,0.3487209644222288,0.1787709497206704,61.524744027303754
0.03,3401,1186,608,69125,1172,0.3487209644222288,0.1787709497206704,58.98037542662116
0.04,3401,1185,608,59085,1172,0.348426933254925,0.1787709497206704,50.41382252559727
0.05,3401,1178,605,46169,1172,0.3463687150837989,0.1778888562187592,39.39334470989761
0.06,3401,1146,590,35059,1172,0.3369597177300794,0.17347838870920318,29.91382252559727
0.07,3401,1113,566,26675,1172,0.32725668920905615,0.16642164069391355,22.76023890784983
0.08,3401,1057,534,21097,1172,0.310790943840047,0.15701264334019405,18.00085324232082
0.09,3401,1008,505,16847,1172,0.29638341664216405,0.14848573948838578,14.37457337883959
0.1,3401,948,477,13219,1172,0.27874154660394,0.14025286680388122,11.27901023890785
0.11,3401,870,434,10308,1172,0.25580711555424873,0.12760952660982064,8.795221843003413
0.12,3401,818,410,8050,1172,0.24051749485445456,0.12055277859453102,6.868600682593857
0.13,3401,773,395,6360,1172,0.22728609232578653,0.11614231108497501,5.426621160409557
0.14,3401,727,373,5096,1172,0.21376065862981475,0.10967362540429286,4.348122866894198
0.15,3401,672,351,4134,1172,0.19758894442810937,0.10320493972361071,3.5273037542662116
0.16,3401,626,331,3280,1172,0.18406351073213761,0.09732431637753602,2.7986348122866893
0.17,3401,560,304,2603,1172,0.16465745369009116,0.0893854748603352,2.22098976109215
0.18,3401,507,285,2063,1172,0.14907380182299323,0.08379888268156424,1.7602389078498293
0.19,3401,455,256,1542,1172,0.13378418112319906,0.07527197882975595,1.3156996587030716
0.2,3401,400,232,1142,1172,0.11761246692149367,0.06821523081446633,0.9744027303754266
0.21,3401,345,196,836,1172,0.1014407527197883,0.0576301087915319,0.7133105802047781
0.22,3401,287,172,592,1172,0.08438694501617171,0.050573360776242283,0.5051194539249146
0.23,3401,228,130,417,1172,0.0670391061452514,0.03822405174948545,0.35580204778157
0.24,3401,181,108,279,1172,0.05321964128197589,0.0317553660688033,0.2380546075085324
0.25,3401,150,93,188,1172,0.04410467509556013,0.02734489855924728,0.16040955631399317
0.26,3401,117,75,132,1172,0.0344016465745369,0.022052337547780066,0.11262798634812286
0.27,3401,99,65,92,1172,0.029109085563069684,0.019112025874742724,0.07849829351535836
0.28,3401,81,55,63,1172,0.02381652455160247,0.016171714201705382,0.0537542662116041
0.29,3401,65,44,45,1172,0.019112025874742724,0.012937371361364304,0.03839590443686007
0.3,3401,47,33,27,1172,0.013819464863275507,0.009703028521023229,0.02303754266211604
0.31,3401,32,23,20,1172,0.009408997353719493,0.006762716847985887,0.017064846416382253
0.32,3401,28,19,13,1172,0.008232872684504558,0.00558659217877095,0.011092150170648464
0.33,3401,21,14,8,1172,0.006174654513378418,0.004116436342252279,0.006825938566552901
0.34,3401,17,12,5,1172,0.004998529844163481,0.0035283740076448105,0.004266211604095563
0.35,3401,14,9,3,1172,0.004116436342252279,0.0026462805057336078,0.002559726962457338
0.36,3401,10,6,1,1172,0.002940311673037342,0.0017641870038224052,0.0008532423208191126
0.37,3401,6,4,1,1172,0.0017641870038224052,0.0011761246692149367,0.0008532423208191126
0.38,3401,4,2,1,1172,0.0011761246692149367,0.0005880623346074683,0.0008532423208191126
0.39,3401,4,2,1,1172,0.0011761246692149367,0.0005880623346074683,0.0008532423208191126
0.4,3401,2,1,0,1172,0.0005880623346074683,0.00029403116730373417,0.0
0.41,3401,2,1,0,1172,0.0005880623346074683,0.00029403116730373417,0.0
0.42,3401,2,1,0,1172,0.0005880623346074683,0.00029403116730373417,0.0
