file,family,pred_family,centre_error_mm,iou,score
file1000002,meniscus,meniscus,8.704821623199384,0.22711196228112038,0.23272642493247986
file1000003,meniscus,meniscus,5.169833257858092,0.24066611118370856,0.26194852590560913
file1000007,cartilage,meniscus,13.197537213773952,0.11921362610856727,0.2846653461456299
file1000007,meniscus,cartilage,11.507555182023454,0.18451041257248352,0.2086133062839508
file1000015,cartilage,cartilage,4.5019310158260115,0.39199238176581414,0.19907048344612122
file1000015,cartilage,cartilage,3.7771307503790537,0.16165271335259962,0.2636677920818329
file1000026,cartilage,cartilage,7.8635756058437245,0.20073219756593916,0.2123919278383255
file1000029,cartilage,cartilage,5.832562823620151,0.41936258713369823,0.227541983127594
file1000043,cartilage,cartilage,5.250066066310863,0.32573073426679494,0.21169628202915192
file1000043,meniscus,meniscus,16.944577382226882,0.16966273466164739,0.22039936482906342
file1000057,meniscus,cartilage,6.972859576326268,0.4429364698235727,0.2938356101512909
file1000058,meniscus,cartilage,6.2314017279580804,0.5557358385113171,0.19574572145938873
file1000060,cartilage,meniscus,11.115063657991978,0.17901381311633316,0.2024749219417572
file1000064,cartilage,meniscus,9.137660152882248,0.3512534558978473,0.2532077431678772
file1000065,meniscus,cartilage,3.94517059802597,0.5070258985552131,0.18895019590854645
file1000069,meniscus,meniscus,6.802416124273996,0.1468502555786822,0.2643207013607025
file1000070,meniscus,meniscus,5.123744578055145,0.1011960499282022,0.2633039951324463
file1000075,cartilage,meniscus,6.080319862795363,0.11779823020251048,0.21820630133152008
file1000081,cartilage,cartilage,5.527432696142102,0.448439015823698,0.2026149183511734
file1000085,meniscus,meniscus,2.4133557394325282,0.364036613188463,0.2884846329689026
file1000086,meniscus,meniscus,12.179510023811263,0.10876135912455676,0.1831764429807663
file1000088,cartilage,cartilage,2.3333799245445235,0.3453509150650015,0.21237920224666595
file1000097,meniscus,meniscus,3.073413243680957,0.3624862146514385,0.26536938548088074
file1000115,cartilage,meniscus,4.182337302963362,0.18333971456236917,0.2038383036851883
file1000115,meniscus,cartilage,6.67668197707281,0.410322216930725,0.3226175010204315
file1000117,meniscus,meniscus,7.199849233827063,0.13731874934107396,0.20084135234355927
file1000120,cartilage,cartilage,1.531459897376143,0.2338717084554839,0.1880742758512497
file1000120,meniscus,cartilage,5.082152619077382,0.4902843484002302,0.3194623291492462
file1000123,meniscus,meniscus,7.5562247718795525,0.23010799135397536,0.2063397765159607
file1000138,cartilage,cartilage,1.6698000756307319,0.1265570729772523,0.21901167929172516
file1000161,meniscus,cartilage,10.568379792469301,0.38175917540596266,0.21525701880455017
file1000173,meniscus,meniscus,9.1600040387763,0.4328553326412585,0.19850438833236694
file1000178,cartilage,cartilage,0.31525795325685446,0.14394826916154183,0.2958139181137085
file1000179,meniscus,meniscus,1.6779707022969053,0.5348030463161711,0.27936646342277527
file1000200,meniscus,cartilage,10.600891669476344,0.226788864018456,0.1820434331893921
file1000204,meniscus,cartilage,4.796340043084414,0.4042857163694169,0.21804116666316986
file1000206,meniscus,meniscus,5.020358699239644,0.18414364060655075,0.1927967220544815
file1000207,cartilage,cartilage,5.611441095133541,0.3417473766781339,0.35223180055618286
file1000207,ligament,meniscus,19.772331835032457,0.1425512191233639,0.1840415596961975
file1000207,meniscus,meniscus,5.113419083147774,0.7015329288005503,0.41042253375053406
file1000208,meniscus,cartilage,7.527202434177807,0.12662985132675228,0.1909717321395874
file1000210,meniscus,cartilage,3.961665749862876,0.4380880934251003,0.2032860517501831
file1000213,meniscus,meniscus,4.979410075122281,0.13948795566761377,0.20462875068187714
file1000216,meniscus,meniscus,10.402245284162536,0.19161410560104727,0.22604775428771973
file1000229,cartilage,meniscus,6.27629890313447,0.2921890816501079,0.21212957799434662
file1000233,meniscus,cartilage,9.039564401213775,0.11925686623867336,0.2480449676513672
file1000237,meniscus,meniscus,10.763640472167072,0.16387300985216124,0.2223580777645111
file1000244,meniscus,cartilage,8.46763881380612,0.2772705584296999,0.19076791405677795
file1000244,meniscus,cartilage,7.706739795119563,0.2512451335802418,0.1951127052307129
file1000252,cartilage,meniscus,6.038658586207032,0.45319632954969646,0.2797066867351532
file1000252,meniscus,cartilage,3.3105491234262794,0.6966790309296396,0.24685950577259064
file1000256,meniscus,cartilage,6.261294409440691,0.4052265314691446,0.21193315088748932
file1000257,meniscus,meniscus,4.875681041824329,0.17448226615146573,0.20835457742214203
file1000262,meniscus,meniscus,9.38562879183694,0.14852181560594283,0.2238561064004898
file1000264,cartilage,cartilage,4.67374961909912,0.2494372782321899,0.20077715814113617
file1000264,meniscus,meniscus,5.103864634656685,0.35300225212293823,0.26989683508872986
file1000265,meniscus,meniscus,9.210484583107652,0.3209078118519008,0.218096062541008
file1000267,meniscus,meniscus,9.973278417119491,0.26973704435411583,0.20709960162639618
file1000271,meniscus,meniscus,26.94069244335774,0.10907828313039176,0.21904589235782623
file1000280,cartilage,cartilage,5.202113713713079,0.18467159378616266,0.20965734124183655
file1000284,cartilage,cartilage,4.263246930010351,0.2817987216036376,0.2014217972755432
file1000287,meniscus,cartilage,7.5041577353348705,0.23567853113890597,0.2110665887594223
file1000290,meniscus,cartilage,9.292306984325062,0.37321793223749056,0.24957886338233948
file1000290,meniscus,cartilage,14.460652533562596,0.1559536897819965,0.23614288866519928
file1000290,meniscus,meniscus,10.025705956505659,0.2116568310510539,0.2202080935239792
file1000293,meniscus,cartilage,3.7620548143612433,0.5000582993213778,0.1960424780845642
file1000296,meniscus,meniscus,5.827691148866088,0.3872451972772799,0.1826784610748291
file1000298,cartilage,cartilage,3.169398952347586,0.1860916071160726,0.19444096088409424
