scan,orientation,shape_ok,cartilage_identity,cartilage_frame,overall_frame
MTR_001,SIAPLR,True,0.449,3.132,2.890
MTR_005,SIAPLR,True,0.685,4.493,4.174
MTR_006,SIAPLR,True,0.575,5.208,5.123
MTR_008,SIAPLR,True,0.350,3.324,3.176
MTR_010,SIAPLR,True,0.605,3.671,3.525
MTR_013,SIAPLR,True,0.475,3.811,3.627
MTR_015,SIAPLR,True,0.745,3.868,4.022
MTR_016,SIAPLR,True,1.933,4.904,4.568
MTR_018,SIAPLR,True,0.698,4.894,4.650
MTR_019,SIAPLR,True,0.548,4.734,4.417
MTR_020,SIAPLR,True,0.314,2.172,2.417
MTR_023,SIAPLR,True,0.279,2.828,2.785
MTR_026,SIAPLR,True,0.648,3.809,3.829
MTR_028,SIAPLR,True,0.557,4.501,4.252
MTR_030,SIAPLR,True,0.632,3.891,3.852
MTR_033,SIAPLR,True,0.805,3.690,3.626
MTR_034,SIAPLR,True,1.024,3.781,3.713
MTR_037,SIAPLR,True,0.773,3.400,3.308
MTR_038,SIAPLR,True,0.686,3.670,3.528
MTR_040,SIAPLR,True,1.499,4.425,4.332
MTR_043,SIAPRL,True,1.050,3.431,3.443
MTR_044,SIAPLR,True,0.813,2.784,2.883
MTR_045,SIAPLR,True,0.476,3.634,3.424
MTR_046,SIAPLR,True,0.573,3.575,3.653
MTR_047,SIAPLR,True,1.093,4.226,3.861
MTR_048,SIAPLR,True,0.729,3.923,3.747
MTR_049,SIAPRL,True,1.010,4.662,4.523
MTR_051,SIAPLR,True,1.354,5.576,5.073
MTR_052,SIAPLR,True,0.659,3.303,3.193
MTR_053,SIAPLR,True,0.438,3.789,3.667
MTR_056,SIAPLR,True,0.590,5.098,4.737
MTR_057,SIAPRL,True,0.991,4.724,4.208
MTR_061,SIAPLR,True,0.622,5.159,5.126
MTR_062,SIAPLR,True,1.546,3.375,3.360
MTR_065,SIAPLR,True,0.932,3.448,3.515
MTR_066,SIAPLR,True,0.313,2.153,2.343
MTR_069,SIAPLR,True,0.533,1.848,2.152
MTR_071,SIAPLR,True,0.443,2.688,2.627
MTR_074,SIAPLR,True,0.783,4.061,3.927
MTR_077,SIAPLR,True,0.898,4.538,4.119
MTR_079,SIAPLR,True,1.005,4.567,4.274
MTR_080,SIAPLR,True,0.869,4.218,3.827
MTR_083,SIAPLR,True,0.947,3.164,3.289
